SOC Code,Occupation Title,Image Generation AIOE
11-1011,Chief Executives,1.309602
11-1021,General and Operations Managers,0.2318839
11-2011,Advertising and Promotions Managers,1.614598
11-2021,Marketing Managers,1.610358
11-2022,Sales Managers,1.009998
11-2031,Public Relations and Fundraising Managers,1.120145
11-3011,Administrative Services Managers,0.5163846
11-3021,Computer and Information Systems Managers,1.275466
11-3031,Financial Managers,1.330661
11-3051,Industrial Production Managers,0.6547023
11-3061,Purchasing Managers,1.298248
11-3071,"Transportation, Storage, and Distribution Managers",0.7731217
11-3111,Compensation and Benefits Managers,0.5593106
11-3121,Human Resources Managers,0.9705216
11-3131,Training and Development Managers,1.199591
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.0162789
11-9021,Construction Managers,1.857085
11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.4257523
11-9032,"Education Administrators, Elementary and Secondary School",0.617483
11-9033,"Education Administrators, Postsecondary",1.109604
11-9039,"Education Administrators, All Other",-0.1519331
11-9041,Architectural and Engineering Managers,1.326039
11-9051,Food Service Managers,-0.710209
11-9061,Funeral Service Managers,0.4026054
11-9071,Gaming Managers,0.7312038
11-9081,Lodging Managers,0.205306
11-9111,Medical and Health Services Managers,0.8518099
11-9121,Natural Sciences Managers,1.313015
11-9131,Postmasters and Mail Superintendents,0.4705282
11-9141,"Property, Real Estate, and Community Association Managers",1.054147
11-9151,Social and Community Service Managers,0.7898791
11-9161,Emergency Management Directors,1.404248
11-9199,"Managers, All Other",0.9635357
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.4296089
13-1021,"Buyers and Purchasing Agents, Farm Products",0.6206006
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.6688566
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.057618
13-1031,"Claims Adjusters, Examiners, and Investigators",1.286114
13-1032,"Insurance Appraisers, Auto Damage",0.6973804
13-1041,Compliance Officers,0.8251011
13-1051,Cost Estimators,1.477924
13-1071,Human Resources Specialists,0.5706536
13-1074,Farm Labor Contractors,-0.6037571
13-1075,Labor Relations Specialists,0.9441004
13-1081,Logisticians,1.568699
13-1111,Management Analysts,0.9662557
13-1121,"Meeting, Convention, and Event Planners",0.1992509
13-1131,Fundraisers,0.7183008
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.221435
13-1151,Training and Development Specialists,0.9480624
13-1161,Market Research Analysts and Marketing Specialists,1.395936
13-1199,"Business Operations Specialists, All Other",1.221236
13-2011,Accountants and Auditors,1.572091
13-2021,Appraisers and Assessors of Real Estate,1.184728
13-2031,Budget Analysts,1.326385
13-2041,Credit Analysts,1.176388
13-2051,Financial Analysts,1.163871
13-2052,Personal Financial Advisors,0.8148876
13-2053,Insurance Underwriters,1.228716
13-2061,Financial Examiners,1.453391
13-2071,Credit Counselors,0.9322733
13-2072,Loan Officers,0.3298389
13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.042565
13-2082,Tax Preparers,1.039527
13-2099,"Financial Specialists, All Other",1.221234
15-1111,Computer and Information Research Scientists,1.630247
15-1121,Computer Systems Analysts,1.514344
15-1122,Information Security Analysts,1.609097
15-1131,Computer Programmers,1.673063
15-1132,"Software Developers, Applications",1.775754
15-1133,"Software Developers, Systems Software",1.398085
15-1134,Web Developers,1.76461
15-1141,Database Administrators,1.729621
15-1142,Network and Computer Systems Administrators,1.475651
15-1143,Computer Network Architects,0.8933583
15-1151,Computer User Support Specialists,0.2546799
