SOC Code,Occupation Title,Language Modeling AIOE
11-1011,Chief Executives,1.308912
11-1021,General and Operations Managers,0.6776147
11-2011,Advertising and Promotions Managers,1.217224
11-2021,Marketing Managers,1.203774
11-2022,Sales Managers,1.293821
11-2031,Public Relations and Fundraising Managers,1.382948
11-3011,Administrative Services Managers,0.7681937
11-3021,Computer and Information Systems Managers,0.9450699
11-3031,Financial Managers,1.294551
11-3051,Industrial Production Managers,0.3542972
11-3061,Purchasing Managers,1.393102
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479
11-3111,Compensation and Benefits Managers,1.466744
11-3121,Human Resources Managers,1.359222
11-3131,Training and Development Managers,1.336838
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996
11-9021,Construction Managers,0.6361951
11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.9671877
11-9032,"Education Administrators, Elementary and Secondary School",1.199449
11-9033,"Education Administrators, Postsecondary",1.544923
11-9039,"Education Administrators, All Other",0.6278906
11-9041,Architectural and Engineering Managers,0.647411
11-9051,Food Service Managers,0.0614931
11-9061,Funeral Service Managers,0.336732
11-9071,Gaming Managers,0.7192592
11-9081,Lodging Managers,0.4639851
11-9111,Medical and Health Services Managers,1.314992
11-9121,Natural Sciences Managers,1.241343
11-9131,Postmasters and Mail Superintendents,0.8657041
11-9141,"Property, Real Estate, and Community Association Managers",1.214595
11-9151,Social and Community Service Managers,1.225244
11-9161,Emergency Management Directors,0.901037
11-9199,"Managers, All Other",0.9099647
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628
13-1021,"Buyers and Purchasing Agents, Farm Products",0.736816
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.7911764
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.495701
13-1031,"Claims Adjusters, Examiners, and Investigators",1.106198
13-1032,"Insurance Appraisers, Auto Damage",0.5820833
13-1041,Compliance Officers,0.5718207
13-1051,Cost Estimators,1.13408
13-1071,Human Resources Specialists,1.557472
13-1074,Farm Labor Contractors,-0.4044011
13-1075,Labor Relations Specialists,1.431411
13-1081,Logisticians,1.081353
13-1111,Management Analysts,1.547557
13-1121,"Meeting, Convention, and Event Planners",0.5130678
13-1131,Fundraisers,1.404691
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.361838
13-1151,Training and Development Specialists,1.322911
13-1161,Market Research Analysts and Marketing Specialists,1.356259
13-1199,"Business Operations Specialists, All Other",0.92503
13-2011,Accountants and Auditors,1.214001
13-2021,Appraisers and Assessors of Real Estate,0.6279358
13-2031,Budget Analysts,1.299968
13-2041,Credit Analysts,1.092495
13-2051,Financial Analysts,1.272825
13-2052,Personal Financial Advisors,1.395742
13-2053,Insurance Underwriters,1.261974
13-2061,Financial Examiners,1.357634
13-2071,Credit Counselors,1.355321
13-2072,Loan Officers,1.477458
13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.253237
13-2082,Tax Preparers,1.143748
13-2099,"Financial Specialists, All Other",1.252594
15-1111,Computer and Information Research Scientists,0.968235
15-1121,Computer Systems Analysts,1.045816
15-1122,Information Security Analysts,1.044709
15-1131,Computer Programmers,1.024722
15-1132,"Software Developers, Applications",0.8815646
15-1133,"Software Developers, Systems Software",1.165808
15-1134,Web Developers,0.7887872
15-1141,Database Administrators,0.9959827
15-1142,Network and Computer Systems Administrators,0.4749538
15-1143,Computer Network Architects,0.4954185
15-1151,Computer User Support Specialists,0.3261741
15-1152,Computer Network Support Specialists,0.6566319
15-1199,"Computer Occupations, All Other",1.043586
15-2011,Actuaries,1.199589
15-2021,Mathematicians,1.166233
15-2031,Operations Research Analysts,1.233633
15-2041,Statisticians,1.243257
15-2091,Mathematical Technicians,0.438215
17-1011,"Architects, Except Landscape and Naval",0.6103589
17-1012,Landscape Architects,0.8363757
17-1021,Cartographers and Photogrammetrists,0.4723189
17-1022,Surveyors,-0.121288
17-2011,Aerospace Engineers,1.11685
17-2021,Agricultural Engineers,0.6895172
17-2031,Biomedical Engineers,0.7338057
17-2041,Chemical Engineers,0.9060193
17-2051,Civil Engineers,0.9267973
17-2061,Computer Hardware Engineers,0.9768626
17-2071,Electrical Engineers,0.901124
17-2072,"Electronics Engineers, Except Computer",0.4569179
17-2081,Environmental Engineers,1.043951
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.7644105
17-2112,Industrial Engineers,0.9050576
17-2121,Marine Engineers and Naval Architects,0.3434475
17-2131,Materials Engineers,0.7804771
17-2141,Mechanical Engineers,0.6780269
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.031417
17-2161,Nuclear Engineers,1.07307
17-2171,Petroleum Engineers,1.03314
17-2199,"Engineers, All Other",0.5808077
17-3011,Architectural and Civil Drafters,0.5538733
17-3012,Electrical and Electronics Drafters,0.675525
17-3013,Mechanical Drafters,0.3818422
17-3021,Aerospace Engineering and Operations Technicians,0.2007942
17-3022,Civil Engineering Technicians,0.5532153
17-3023,Electrical and Electronic Engineering Technicians,0.0780005
17-3024,Electro-Mechanical Technicians,-0.5684535
17-3025,Environmental Engineering Technicians,-0.1238053
17-3026,Industrial Engineering Technicians,0.3474347
17-3027,Mechanical Engineering Technicians,-0.273681
17-3029,"Engineering Technicians, Except Drafters, All Other",-0.0792918
17-3031,Surveying and Mapping Technicians,-0.2902489
19-1011,Animal Scientists,0.9717278
19-1012,Food Scientists and Technologists,0.5725463
19-1013,Soil and Plant Scientists,0.6091695
19-1020,Biologists,0.6616595
19-1021,Biochemists and Biophysicists,0.7935216
19-1022,Microbiologists,0.4742087
19-1023,Zoologists and Wildlife Biologists,0.3266713
19-1029,"Biological Scientists, All Other",0.8829154
19-1031,Conservation Scientists,0.0744339
19-1032,Foresters,-0.1960901
19-1041,Epidemiologists,1.284233
19-1042,"Medical Scientists, Except Epidemiologists",1.167239
19-2011,Astronomers,1.034772
19-2012,Physicists,1.096606
19-2021,Atmospheric and Space Scientists,1.259493
19-2031,Chemists,0.3266484
19-2032,Materials Scientists,0.7858083
19-2041,"Environmental Scientists and Specialists, Including Health",0.8702797
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.5673001
19-2043,Hydrologists,0.5548691
19-2099,"Physical Scientists, All Other",0.9125224
19-3011,Economists,1.330122
19-3022,Survey Researchers,1.278523
19-3031,"Clinical, Counseling, and School Psychologists",1.626016
19-3032,Industrial-Organizational Psychologists,1.427002
19-3039,"Psychologists, All Other",1.329938
19-3041,Sociologists,1.747498
19-3051,Urban and Regional Planners,1.07547
19-3091,Anthropologists and Archeologists,0.7388214
19-3092,Geographers,1.363147
19-3093,Historians,1.490678
19-3094,Political Scientists,1.686549
19-3099,"Social Scientists and Related Workers, All Other",1.084824
19-4011,Agricultural and Food Science Technicians,-0.0492323
19-4021,Biological Technicians,0.1328288
19-4031,Chemical Technicians,-0.0940159
19-4041,Geological and Petroleum Technicians,-0.0265366
19-4051,Nuclear Technicians,-0.0905259
19-4061,Social Science Research Assistants,1.125941
19-4091,"Environmental Science and Protection Technicians, Including Health",-0.1429246
19-4092,Forensic Science Technicians,0.0103722
19-4093,Forest and Conservation Technicians,-0.7611464
19-4099,"Life, Physical, and Social Science Technicians, All Other",0.176155
21-1011,Substance Abuse and Behavioral Disorder Counselors,1.203909
21-1012,"Educational, Guidance, School, and Vocational Counselors",1.196385
21-1013,Marriage and Family Therapists,1.47313
21-1014,Mental Health Counselors,1.536944
21-1015,Rehabilitation Counselors,0.8346704
21-1021,"Child, Family, and School Social Workers",0.9571291
21-1022,Healthcare Social Workers,1.093619
21-1023,Mental Health and Substance Abuse Social Workers,1.253184
21-1091,Health Educators,0.9684216
21-1092,Probation Officers and Correctional Treatment Specialists,0.896767
21-1093,Social and Human Service Assistants,0.5573961
21-1094,Community Health Workers,0.1347507
21-2011,Clergy,1.470103
21-2021,"Directors, Religious Activities and Education",1.355036
23-1011,Lawyers,1.454044
23-1012,Judicial Law Clerks,1.512581
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1.547145
23-1022,"Arbitrators, Mediators, and Conciliators",1.647241
23-1023,"Judges, Magistrate Judges, and Magistrates",1.646266
23-2011,Paralegals and Legal Assistants,1.332659
23-2091,Court Reporters,0.9032798
23-2093,"Title Examiners, Abstractors, and Searchers",1.384156
25-1011,"Business Teachers, Postsecondary",1.618228
25-1021,"Computer Science Teachers, Postsecondary",1.390422
