isco08_code,occupation_title,exposure_category,mean_task_score,n_tasks
1111,Legislators,Not Exposed,0.3131,8
1112,Senior government officials,Minimal Exposure,0.3767,9
1113,Traditional chiefs and heads of village,Not Exposed,0.2305,7
1114,Senior officials of special-interest organizations,Minimal Exposure,0.3683,9
1120,Managing directors and chief executives,Minimal Exposure,0.3759,11
1211,Finance managers,Minimal Exposure,0.3728,8
1212,Human resource managers,Minimal Exposure,0.3564,11
1213,Policy and planning managers,Not Exposed,0.3593,9
1219,Business services and administration managers not elsewhere classified,Exposed: Gradient 2,0.4190,10
1221,Sales and marketing managers,Exposed: Gradient 2,0.4122,8
1222,Advertising and public relations managers,Minimal Exposure,0.3882,8
1223,Research and development managers,Minimal Exposure,0.3975,8
1311,Agricultural and forestry production managers,Minimal Exposure,0.2697,12
1312,Aquaculture and fisheries production managers,Not Exposed,0.2196,13
1321,Manufacturing managers,Minimal Exposure,0.3787,12
1322,Mining managers,Minimal Exposure,0.3473,10
1323,Construction managers,Minimal Exposure,0.3384,11
1324,"Supply, distribution and related managers",Minimal Exposure,0.3850,12
1330,Information and communications technology service managers,Exposed: Gradient 2,0.4402,11
1341,Child care services managers,Minimal Exposure,0.2994,9
1342,Health services managers,Minimal Exposure,0.3630,10
1343,Aged care services managers,Minimal Exposure,0.3438,10
1344,Social welfare managers,Minimal Exposure,0.3692,10
1345,Education managers,Minimal Exposure,0.3630,11
1346,Financial and insurance services branch managers,Exposed: Gradient 2,0.4693,11
1349,Professional services managers not elsewhere classified,Minimal Exposure,0.3836,9
1411,Hotel managers,Exposed: Gradient 1,0.3730,10
1412,Restaurant managers,Minimal Exposure,0.3630,10
1420,Retail and wholesale trade managers,Exposed: Gradient 2,0.4359,7
1431,"Sports, recreation and cultural centre managers",Minimal Exposure,0.3225,9
2111,Physicists and astronomers,Exposed: Gradient 1,0.3798,11
2112,Meteorologists,Exposed: Gradient 3,0.5364,9
2113,Chemists,Minimal Exposure,0.3875,9
2114,Geologists and geophysicists,Minimal Exposure,0.3633,12
2120,"Mathematicians, actuaries and statisticians",Exposed: Gradient 3,0.5615,10
2131,"Biologists, botanists, zoologists and related professionals",Exposed: Gradient 2,0.3969,8
2132,"Farming, forestry and fisheries advisers",Not Exposed,0.2852,12
2133,Environmental protection professionals,Minimal Exposure,0.3837,7
2141,Industrial and production engineers,Minimal Exposure,0.3670,10
2142,Civil engineers,Not Exposed,0.3021,7
2143,Environmental engineers,Minimal Exposure,0.3814,9
2144,Mechanical engineers,Not Exposed,0.3234,7
2145,Chemical engineers,Minimal Exposure,0.3516,8
2146,"Mining engineers, metallurgists and related professionals",Not Exposed,0.2925,9
2149,Engineering professionals not elsewhere classified,Not Exposed,0.3047,9
2151,Electrical engineers,Not Exposed,0.3142,6
2152,Electronics engineers,Exposed: Gradient 2,0.4238,8
2153,Telecommunications engineers,Exposed: Gradient 2,0.4821,7
2161,Building architects,Minimal Exposure,0.3714,9
2162,Landscape architects,Minimal Exposure,0.3708,9
2163,Product and garment designers,Minimal Exposure,0.3497,9
2164,Town and traffic planners,Minimal Exposure,0.4081,8
2165,Cartographers and surveyors,Exposed: Gradient 2,0.4387,8
2166,Graphic and multimedia designers,Exposed: Gradient 2,0.4930,10
2211,Generalist medical practitioners,Not Exposed,0.2866,11
2212,Specialist medical practitioners,Not Exposed,0.2715,12
2221,Nursing professionals,Not Exposed,0.2520,10
2222,Midwifery professionals,Minimal Exposure,0.2991,8
2230,Traditional and complementary medicine professionals,Minimal Exposure,0.3239,7
2240,Paramedical practitioners,Not Exposed,0.2334,9
2250,Veterinarians,Not Exposed,0.1419,9
2261,Dentists,Not Exposed,0.1493,12
2262,Pharmacists,Minimal Exposure,0.3323,13
2263,Environmental and occupational health and hygiene professionals,Not Exposed,0.2802,10
2264,Physiotherapists,Minimal Exposure,0.2836,7
2265,Dieticians and nutritionists,Minimal Exposure,0.4139,7
2266,Audiologists and speech therapists,Not Exposed,0.2376,7
2267,Optometrists and ophthalmic opticians,Not Exposed,0.2371,7
2269,Health professionals not elsewhere classified,Not Exposed,0.1950,8
2310,University and higher education teachers,Minimal Exposure,0.3694,9
2320,Vocational education teachers,Minimal Exposure,0.3483,10
2330,Secondary education teachers,Not Exposed,0.2982,11
2341,Primary school teachers,Not Exposed,0.2612,10
2342,Early childhood educators,Not Exposed,0.2081,9
2351,Education methods specialists,Exposed: Gradient 1,0.3930,10
2352,Special needs teachers,Not Exposed,0.2836,11
2353,Other language teachers,Minimal Exposure,0.3391,8
2354,Other music teachers,Minimal Exposure,0.3536,11
2355,Other arts teachers,Minimal Exposure,0.3463,10
2356,Information technology trainers,Exposed: Gradient 2,0.4700,6
2359,Teaching professionals not elsewhere classified,Minimal Exposure,0.3269,12
2411,Accountants,Exposed: Gradient 3,0.5132,8
2412,Financial and investment advisers,Exposed: Gradient 3,0.5746,6
2413,Financial analysts,Exposed: Gradient 4,0.6181,9
