isco08_code,occupation_title,task_score,task_exposure,task_description
1111,Legislators,0.34,Low,"Presiding over or participating in the proceedings of legislative bodies and administrative councils of national, state, regional or local governments or legislative assemblies;"
1111,Legislators,0.3575,Low,"Determining, formulating and directing policies of national, state, regional or local governments;"
1111,Legislators,0.29,Low,"Making, ratifying, amending or repealing laws, public rules and regulations within a statutory or constitutional framework;"
1111,Legislators,0.25,Low,Serving on government administrative boards or official committees;
1111,Legislators,0.345,Low,Investigating matters of concern to the public and promoting the interests of the constituencies which they represent;
1111,Legislators,0.335,Low,"Attending community functions and meetings to provide service to the community, understand public opinion and provide information on government plans;"
1111,Legislators,0.2625,Low,"Negotiating with other legislators and representatives of interest groups in order to reconcile differing interests, and to create policies and agreements;"
1111,Legislators,0.325,Low,"As members of the government, directing senior administrators and officials of government departments and agencies in the interpretation and implementation of government policies."
1112,Senior government officials,0.35,Low,"Advising national, state, regional or local governments and legislators on policy matters;"
1112,Senior government officials,0.435,Low,"Advising on the preparation of government budgets, laws and regulations, including amendments;"
1112,Senior government officials,0.355,Low,Establishing objectives for government departments or agencies in accordance with government legislation and policy;
1112,Senior government officials,0.355,Low,Formulating or approving and evaluating programmes and procedures for the implementation of government policies in conjunction or consultation with government;
1112,Senior government officials,0.535,Medium,"Recommending, reviewing, evaluating and approving documents, briefs and reports submitted by middle managers and senior staff members;"
1112,Senior government officials,0.385,Low,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control;
1112,Senior government officials,0.24,Very Low,Coordinating activities with other senior government managers and officials;
1112,Senior government officials,0.375,Low,Making presentations to legislative and other government committees regarding policies programmes or budgets;
1112,Senior government officials,0.36,Low,Overseeing the interpretation and implementation of government policies and legislation by government departments and agencies.
1113,Traditional chiefs and heads of village,0.315,Low,Allocating the use of communal land and other resources among households in the community or village;
1113,Traditional chiefs and heads of village,0.1475,Very Low,Collecting and distributing surplus production of the community or village;
1113,Traditional chiefs and heads of village,0.235,Very Low,Settling disputes between members of the community or village;
1113,Traditional chiefs and heads of village,0.15,Very Low,Disciplining members of the community or village for violation of rules and customs;
1113,Traditional chiefs and heads of village,0.106,Very Low,"Performing ceremonial duties in connection with births, marriages, deaths, harvests and other important occasions;"
1113,Traditional chiefs and heads of village,0.295,Low,Representing the community or village on local or regional councils;
1113,Traditional chiefs and heads of village,0.365,Low,Informing the community or village about government rules and regulations.
1114,Senior officials of special-interest organizations,0.365,Low,"Determining and formulating the policies, rules and regulations of the organization;"
1114,Senior officials of special-interest organizations,0.37,Low,"Planning, directing and coordinating the general functioning of the organization;"
1114,Senior officials of special-interest organizations,0.4,Low,"Reviewing the operations and results of the organization and reporting to boards of directors and governing bodies, the organization’s membership and funding agencies;"
1114,Senior officials of special-interest organizations,0.28,Low,"Negotiating on behalf of the organization, its members and relevant special-interest groups;"
1114,Senior officials of special-interest organizations,0.4225,Low,"Promoting the interests of the organization, its members and relevant special-interest groups before the legislature, government or general public;"
1114,Senior officials of special-interest organizations,0.35,Low,"Planning, organizing and directing sections charged with implementing the organization's policies, programmes, rules and regulations;"
1114,Senior officials of special-interest organizations,0.3825,Low,Ensuring appropriate systems and procedures are developed and implemented to provide budgetary control;
1114,Senior officials of special-interest organizations,0.455,Low,Monitoring and evaluating performance of the organization or enterprise against established objectives and policies;
1114,Senior officials of special-interest organizations,0.29,Low,"Representing the organization at official occasions and board meetings, in negotiations, at conventions, public hearings and forums."
1120,Managing directors and chief executives,0.3575,Low,"Planning, directing and coordinating the general functioning of an enterprise or organization;"
1120,Managing directors and chief executives,0.415,Low,"Reviewing the operations and results of the enterprise, or organization and reporting to boards of directors and governing bodies;"
1120,Managing directors and chief executives,0.465,Low,"Determining objectives, strategies, policies and programmes for the enterprise or organization;"
1120,Managing directors and chief executives,0.315,Low,Providing overall leadership and management to the enterprise or organization;
1120,Managing directors and chief executives,0.4125,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1120,Managing directors and chief executives,0.37,Low,"Authorising material, human and financial resources to implement organizational policies and programmes;"
1120,Managing directors and chief executives,0.465,Low,Monitoring and evaluating performance of the organization or enterprise against established objectives and policies;
1120,Managing directors and chief executives,0.335,Low,Consulting with senior subordinate staff and reviewing recommendations and reports;
1120,Managing directors and chief executives,0.335,Low,"Representing the organization at official occasions and board meetings, in negotiations, at conventions, seminars, public hearings and forums;"
1120,Managing directors and chief executives,0.32,Low,Selecting or approving the selection of senior staff;
1120,Managing directors and chief executives,0.345,Low,Ensuring the organization complies with relevant legislation and regulations.
1211,Finance managers,0.415,Low,"Planning, directing and coordinating the financial operations of an enterprise or organization;"
1211,Finance managers,0.435,Low,"Assessing the financial situation of the enterprise or organization, preparing budgets and overseeing financial operations;"
1211,Finance managers,0.3375,Low,Consulting with the chief executive and with managers of other departments or sections
1211,Finance managers,0.37,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1211,Finance managers,0.36,Low,Establishing and directing operational and administrative procedures;
1211,Finance managers,0.38,Low,Planning and directing daily operations;
1211,Finance managers,0.32,Low,"Overseeing the selection, training and performance of staff;"
1211,Finance managers,0.365,Low,Representing the enterprise or organization in dealings with outside bodies.
1212,Human resource managers,0.36,Low,"Planning, directing and coordinating the personnel and industrial relations activities, policies and practices of an enterprise or organization;"
1212,Human resource managers,0.35,Low,"Planning and organizing procedures for recruitment, training, promotion, transfer and dismissal of staff;"
1212,Human resource managers,0.315,Low,Planning and organizing negotiations and procedures for determination of wage structures and level and for consultation with workers on conditions of employment;
1212,Human resource managers,0.275,Low,"Overseeing safety, health and related programmes and activities;"
1212,Human resource managers,0.375,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1212,Human resource managers,0.35,Low,Establishing and directing operational and administrative procedures;
1212,Human resource managers,0.475,Low,Overseeing the development and implementation of management information systems;
1212,Human resource managers,0.305,Low,"Ensuring compliance with standards and legislation relating to employees rights, health and safety, equal opportunity and related concerns;"
1212,Human resource managers,0.36,Low,"Overseeing the selection, training and performance of staff for the entire enterprise or organization;"
1212,Human resource managers,0.385,Low,Consulting with senior management and with managers of other departments;
1212,Human resource managers,0.37,Low,Representing the enterprise or organization in dealings with outside bodies.
1213,Policy and planning managers,0.3625,Low,"Developing, implementing and monitoring strategic plans, programmes, policies, processes, systems and procedures to achieve goals, objectives and work standards;"
1213,Policy and planning managers,0.4125,Low,"Developing, directing, administering and participating in policy research and analysis;"
1213,Policy and planning managers,0.385,Low,Coordinating the implementation of policies and practices;
1213,Policy and planning managers,0.3585,Low,Establishing activity measures and measurements of accountability;
1213,Policy and planning managers,0.355,Low,Planning and directing daily operations;
1213,Policy and planning managers,0.355,Low,Leading and managing the activities of policy development and strategic planning staff;
1213,Policy and planning managers,0.28,Low,"Overseeing the selection, training and performance of staff;"
1213,Policy and planning managers,0.37,Low,Consulting with senior management and with managers of other departments;
1213,Policy and planning managers,0.355,Low,"Representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums."
1219,Business services and administration managers not elsewhere classified,0.355,Low,"Providing administrative, strategic planning and operational support, research and advice to senior management on matters such as the management of building facilities and administrative services;"
1219,Business services and administration managers not elsewhere classified,0.38,Low,Developing and managing the organization's administrative and physical resources;
1219,Business services and administration managers not elsewhere classified,0.565,Medium,Developing and implementing administrative and procedural statements and guidelines for use by staff in the organization;
1219,Business services and administration managers not elsewhere classified,0.555,Medium,"Analysing complex resource management issues and initiatives that affect the organization, and preparing associated reports, correspondence and submissions;"
1219,Business services and administration managers not elsewhere classified,0.565,Medium,Providing information and support for the preparation of financial reports and budgets;
1219,Business services and administration managers not elsewhere classified,0.37,Low,"Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information;"
1219,Business services and administration managers not elsewhere classified,0.37,Low,"Representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums;"
1219,Business services and administration managers not elsewhere classified,0.365,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1219,Business services and administration managers not elsewhere classified,0.365,Low,Planning and directing daily operations;
1219,Business services and administration managers not elsewhere classified,0.3,Low,"Overseeing the selection, training and performance of staff."
1221,Sales and marketing managers,0.435,Low,Planning and organizing special sales and marketing programmes based on sales records and market assessments;
1221,Sales and marketing managers,0.5925,Medium,"Determining price lists, discount and delivery terms, sales promotion budgets, sales methods, special incentives and campaigns;"
1221,Sales and marketing managers,0.445,Low,Establishing and directing operational and administrative procedures related to sales and marketing activities;
1221,Sales and marketing managers,0.385,Low,Leading and managing the activities of sales and marketing staff;
1221,Sales and marketing managers,0.355,Low,Planning and directing daily operations;
1221,Sales and marketing managers,0.3875,Low,Establishing and managing budgets and controlling expenditure to ensure the efficient use of resources;
1221,Sales and marketing managers,0.3025,Low,"Overseeing the selection, training and performance of staff;"
1221,Sales and marketing managers,0.395,Low,"Representing the enterprise or organization at sales and marketing conventions, trade exhibitions and other forums."
1222,Advertising and public relations managers,0.445,Low,"Planning, directing and coordinating the advertising and public relations activities of an enterprise or organization;"
1222,Advertising and public relations managers,0.35,Low,"Negotiating advertising contracts with clients or with newspapers, radio and television stations, sports and cultural organizations and advertising agencies;"
1222,Advertising and public relations managers,0.435,Low,"Planning and managing information programmes to inform legislators, the mass media and the general public about the plans, accomplishments and points of view of the enterprise or organization;"
1222,Advertising and public relations managers,0.415,Low,Leading and managing the activities of advertising and public relations staff;
1222,Advertising and public relations managers,0.416,Low,Establishing and managing budgets and controlling expenditure and ensuring the efficient use of resources;
1222,Advertising and public relations managers,0.345,Low,Establishing and directing operational and administrative procedures;
1222,Advertising and public relations managers,0.385,Low,Planning and directing daily operations;
1222,Advertising and public relations managers,0.315,Low,"Overseeing the selection, training and performance of staff."
1223,Research and development managers,0.5,Medium,"Planning, directing and coordinating research and development activities, in-house or commissioned from external research organizations, to develop new or improved technical processes, products, knowledge, or utilization of materials;"
1223,Research and development managers,0.395,Low,"Planning the overall research and development programme of an enterprise or organization, specifying goals and budgetary requirements;"
1223,Research and development managers,0.3575,Low,Leading and managing the activities of research and development staff;
1223,Research and development managers,0.4,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1223,Research and development managers,0.465,Low,Establishing and directing operational and administrative procedures;
1223,Research and development managers,0.33,Low,Planning and directing daily operations;
1223,Research and development managers,0.3225,Low,"Overseeing the selection, training and performance of staff;"
1223,Research and development managers,0.41,Low,"Representing the enterprise or organization at conventions, seminars and conferences."
1311,Agricultural and forestry production managers,0.42,Low,Monitoring agricultural and forestry market activity and planning production to meet contract requirements and market demand;
1311,Agricultural and forestry production managers,0.565,Medium,"Establishing and managing budgets, monitoring production output and costs, recording information such as farm management practices, and preparing financial and operational reports;"
1311,Agricultural and forestry production managers,0.2575,Low,Conferring with buyers to arrange for the sale of crops and livestock;
1311,Agricultural and forestry production managers,0.235,Very Low,"Contracting with farmers or independent owners for production of crops and livestock, or for management of production;"
1311,Agricultural and forestry production managers,0.395,Low,"Planning the type, intensity and sequence of farm operations (e.g. determining the best times for planting, spraying and harvesting);"
1311,Agricultural and forestry production managers,0.25,Low,Analysing soil to determine types and quantities of fertilizer required for maximum production;
1311,Agricultural and forestry production managers,0.18,Very Low,"Purchasing machinery, equipment, and supplies such as tractors, seed, fertilizer, and chemicals;"
1311,Agricultural and forestry production managers,0.1875,Very Low,"Identifying and controlling agricultural and forest environmental toxins, weeds, pests and diseases;"
1311,Agricultural and forestry production managers,0.14,Very Low,"Organizing farming operations such as maintaining buildings, water supply systems and equipment;"
1311,Agricultural and forestry production managers,0.135,Very Low,"Directing and coordinating activities such as planting, irrigation, chemical application, harvesting, and grading;"
1311,Agricultural and forestry production managers,0.249,Very Low,"Inspecting plantations and fields to determine maturity dates of crops, or to estimate potential crop damage from weather;"
1311,Agricultural and forestry production managers,0.2225,Very Low,"Overseeing the selection, training and performance of agricultural and forestry workers and contractors."
1312,Aquaculture and fisheries production managers,0.28,Low,Monitoring aquaculture and fishery market activity and planning production and fishing activities to meet contract requirements and market demand;
1312,Aquaculture and fisheries production managers,0.41,Low,"Establishing and managing budgets, monitoring production output and costs, recording information such as fisheries management practices, and preparing financial and operational reports;"
1312,Aquaculture and fisheries production managers,0.275,Low,Conferring with buyers to arrange for the sale of produce and catches;
1312,Aquaculture and fisheries production managers,0.22,Very Low,"Contracting with fishing skippers or owners of vessels and aquaculture farms for fishing and aquaculture operations, or for management of production;"
1312,Aquaculture and fisheries production managers,0.1475,Very Low,Conducting and organizing aquaculture or fishery stock examinations in order to identify diseases or parasites;
1312,Aquaculture and fisheries production managers,0.2075,Very Low,"Devising and coordinating activities to improve fish hatching and growth rates, and to prevent disease in hatcheries;"
1312,Aquaculture and fisheries production managers,0.14,Very Low,Monitoring environments to maintain or improve conditions for aquatic life;
1312,Aquaculture and fisheries production managers,0.14,Very Low,"Directing and monitoring trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques;"
1312,Aquaculture and fisheries production managers,0.265,Low,Coordinating the selection and maintenance of brood stock;
1312,Aquaculture and fisheries production managers,0.14,Very Low,"Directing and monitoring the transfer of mature fish to lakes, ponds, streams, or commercial tanks;"
1312,Aquaculture and fisheries production managers,0.18,Very Low,"Purchasing machinery, equipment, and supplies such as vessels and nets;"
1312,Aquaculture and fisheries production managers,0.15,Very Low,"Organizing operations such as maintenance of ships, boats and equipment;"
1312,Aquaculture and fisheries production managers,0.3,Low,"Overseeing the selection, training and performance of aquaculture or fishery workers and contractors."
1321,Manufacturing managers,0.44,Low,"Determining, implementing and monitoring production strategies, policies and plans;"
1321,Manufacturing managers,0.485,Low,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;"
1321,Manufacturing managers,0.325,Low,"Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools;"
1321,Manufacturing managers,0.51,Medium,"Establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;"
1321,Manufacturing managers,0.435,Low,Consulting with and informing other managers about production matters;
1321,Manufacturing managers,0.1675,Very Low,Overseeing the acquisition and installation of new plant and equipment;
1321,Manufacturing managers,0.52,Medium,Controlling the preparation of production records and reports;
1321,Manufacturing managers,0.265,Low,Coordinating the implementation of occupational health and safety requirements;
1321,Manufacturing managers,0.405,Low,Identifying business opportunities and determining products to be manufactured;
1321,Manufacturing managers,0.315,Low,Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment;
1321,Manufacturing managers,0.35,Low,Overseeing the provision of quotes for the manufacture of specialized goods and establishing contracts with customers and suppliers;
1321,Manufacturing managers,0.3275,Low,"Overseeing the selection, training and performance of staff."
1322,Mining managers,0.355,Low,"Conferring with other managers to set production quotas, plan extraction sites and develop policies for the removal of raw materials;"
1322,Mining managers,0.335,Low,"Evaluating efficiency of production sites to determine adequacy of personnel, equipment and technologies used, and make changes to work schedule or equipment when necessary;"
1322,Mining managers,0.435,Low,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;"
1322,Mining managers,0.26,Low,"Controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment;"
1322,Mining managers,0.465,Low,"Establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;"
1322,Mining managers,0.18,Very Low,Overseeing the acquisition and installation of new plant and equipment;
1322,Mining managers,0.5475,Medium,Controlling the preparation of production records and reports;
1322,Mining managers,0.256,Low,Coordinating the implementation of health and safety requirements;
1322,Mining managers,0.32,Low,Researching and implementing regulatory and statutory requirements affecting mineral extraction operations and the environment;
1322,Mining managers,0.32,Low,"Overseeing the selection, training and performance of staff."
1323,Construction managers,0.365,Low,Interpreting architectural drawings and specifications;
1323,Construction managers,0.36,Low,"Coordinating labour resources and procurement and delivery of materials, plant and equipment;"
1323,Construction managers,0.28,Low,"Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget;"
1323,Construction managers,0.4625,Low,Preparing tenders and contract bids;
1323,Construction managers,0.385,Low,Operating and implementing coordinated work programmes for sites;
1323,Construction managers,0.2925,Low,"Ensuring adherence to building legislation and standards of performance, quality, cost and safety;"
1323,Construction managers,0.34,Low,Arranging submission of plans to local authorities;
1323,Construction managers,0.255,Low,"Building under contract, or subcontracting specialized building services;"
1323,Construction managers,0.315,Low,Arranging building inspections by relevant authorities;
1323,Construction managers,0.385,Low,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;"
1323,Construction managers,0.2825,Low,"Overseeing the selection, training and performance of staff and subcontractors;"
1324,"Supply, distribution and related managers",0.44,Low,"Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans;"
1324,"Supply, distribution and related managers",0.41,Low,Preparing and implementing plans to maintain required stock levels at minimum cost;
1324,"Supply, distribution and related managers",0.315,Low,"Negotiating contracts with suppliers to meet quality, cost and delivery requirements;"
1324,"Supply, distribution and related managers",0.445,Low,Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels;
1324,"Supply, distribution and related managers",0.37,Low,"Overseeing the dispatch of road vehicles, trains, vessels or aircraft;"
1324,"Supply, distribution and related managers",0.35,Low,"Operating recording systems to track all movements of goods, and ensuring reordering and restocking at optimal times;"
1324,"Supply, distribution and related managers",0.435,Low,Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation;
