title,category,slug,code_rome,salaire_median_annuel,salaire_median_mensuel,niveau_formation,experience_requise,nb_emplois,nb_emplois_projete,perspectives_pct,perspectives_desc,variation_emploi,url
Comptables,support-entreprise,comptables,M1203,31800,2650,BTS/DUT (Bac+2),,128000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1203
Développeurs informatiques,informatique-telecoms,developpeurs-informatiques,M1805,46200,3850,Master (Bac+5),,182000,,-2,,,https://candidat.francetravail.fr/metierscope/fiche-metier/M1805
Infirmiers en soins généraux,sante,infirmiers-soins-generaux,J1506,28080,2340,Licence (Bac+3),,580000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1506
Aides-soignants,sante,aides-soignants,J1501,22680,1890,CAP/BEP,,355000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/J1501
Enseignants du secondaire,enseignement-formation,enseignants-secondaire,K2107,32160,2680,Master (Bac+5),,530000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2107
Enseignants du primaire,enseignement-formation,enseignants-primaire,K2106,28560,2380,Master (Bac+5),,370000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2106
Agents de sécurité,services-collectivite,agents-securite,K2503,,,CAP/BEP,,,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/K2503
Vendeurs en magasin,commerce-vente,vendeurs-magasin,D1214,27000,2250,Baccalauréat,,58000,,3,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1214
Caissiers,commerce-vente,caissiers,D1505,21360,1780,Sans diplôme,,218000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/D1505
Cuisiniers,hotellerie-restauration,cuisiniers,G1602,21360,1780,CAP/BEP,,218000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1602
Serveurs de restaurant,hotellerie-restauration,serveurs-restaurant,G1803,,,CAP/BEP,,,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/G1803
Maçons,construction-btp,macons,F1703,23760,1980,CAP/BEP,,128000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1703
Électriciens du bâtiment,construction-btp,electriciens-batiment,F1602,24960,2080,CAP/BEP,,112000,,5,,,https://candidat.francetravail.fr/metierscope/fiche-metier/F1602
